"","lon","lat","date","status","analysed_sst","analysis_error","mask","sea_ice_fraction"
"281",-147.723676459864,30.4744416055181,2008-05-08,TRUE,293.692,0.39,1,NA
"282",156.494570430368,37.8234506613076,2003-08-12,TRUE,298.005,0.37,1,0
"283",-3.41068072244525,12.6599101206684,2005-01-27,TRUE,NA,NA,2,NA
"284",-23.4280718117952,87.0620072658753,2015-12-16,TRUE,271.35,0.35,9,1
"285",-83.6131269112229,66.4210722047118,2005-09-28,TRUE,271.815,0.36,9,0.47
"286",52.1354587655514,45.5918662193658,2012-09-09,TRUE,293.646,0.37,5,NA
"287",25.9841729979962,-12.1318996100306,2019-07-03,TRUE,NA,NA,2,NA
"288",-141.771653154865,63.857002524503,2003-09-19,TRUE,NA,NA,2,NA
"289",106.647717738524,77.4362481435064,2015-07-04,TRUE,271.96,0.35,1,NA
"290",-168.32698630169,36.0486463759882,2019-07-27,TRUE,297.527,0.38,1,NA
"291",100.792142730206,-3.03124866657598,2015-04-25,TRUE,302.903,0.42,1,NA
"292",-78.0732095986605,-29.7856535395273,2006-02-12,TRUE,293.022,0.4,1,NA
"293",128.21835343726,-10.2730079244444,2014-03-07,TRUE,302.224,0.41,1,NA
"294",-11.9621465262026,-9.58493520744106,2008-12-05,TRUE,296.827,0.39,1,NA
"295",-134.274941990152,1.45170875014829,2012-01-05,TRUE,299.071,0.37,1,NA
"296",-98.9817057084292,-4.36968096196129,2008-11-06,TRUE,296.394,0.39,1,NA
"297",-11.331230616197,14.7042978623198,2008-08-17,TRUE,NA,NA,2,NA
"298",76.8742547091097,13.3137728064015,2010-06-13,TRUE,NA,NA,2,NA
"299",-115.917754294351,-10.0919359530131,2007-08-27,TRUE,298.467,0.37,1,NA
"300",56.7498892452568,-12.2917187689502,2010-06-03,TRUE,301.166,0.38,1,NA
"301",61.8924882542342,-43.6046379522511,2018-11-05,TRUE,285.679,0.39,1,NA
"302",105.017668241635,12.1760758680799,2006-06-21,TRUE,NA,NA,2,NA
"303",64.5802608411759,35.8379320272921,2014-11-10,TRUE,NA,NA,2,NA
"304",24.02667674236,4.9827794115356,2008-05-08,TRUE,NA,NA,2,NA
"305",105.977558512241,-18.5863833023863,2017-08-04,TRUE,296.519,0.38,1,NA
"306",105.236495593563,-17.1745665087327,2006-06-15,TRUE,298.477,0.38,1,NA
"307",98.8317431509495,-5.1037682805299,2015-01-28,TRUE,301.945,0.4,1,NA
"308",83.3854038454592,45.7984802468856,2003-07-12,TRUE,NA,NA,2,NA
"309",4.83745465055108,41.3611642490126,2011-06-12,TRUE,292.59,0.37,1,NA
"310",-52.7308108471334,62.0262689167509,2005-12-20,TRUE,276.44,0.37,1,0
"311",175.77144141309,9.95702341394614,2003-03-01,TRUE,300.435,0.41,1,NA
"312",-81.7435335181653,14.6880948650899,2007-10-25,TRUE,301.585,0.39,1,NA
"313",1.46113973110914,-23.9976498061186,2018-08-28,TRUE,291.725,0.38,1,NA
"314",174.748762222007,10.5890053073207,2003-09-20,TRUE,302.836,0.38,1,NA
"315",94.6034442353994,-7.49742348966207,2003-09-26,TRUE,299.545,0.38,1,NA
